colour	x	y	clickSelects	showSelected1	showSelected2	fill
#F8766D	0	0	1	1	1	#F8766D
#D89000	0	0	2	1	2	#D89000
#A3A500	0	0	3	1	3	#A3A500
#39B600	0	0	4	1	4	#39B600
#00BF7D	0	0	5	1	5	#00BF7D
#00BFC4	0	0	6	1	6	#00BFC4
#00B0F6	0	0	7	1	7	#00B0F6
#9590FF	0	0	8	1	8	#9590FF
#E76BF3	0	0	9	1	9	#E76BF3
#FF62BC	0	0	10	1	10	#FF62BC
#F8766D	1.37095844714667	1.30486965422349	1	2	1	#F8766D
#D89000	-0.564698171396089	2.28664539270111	2	2	2	#D89000
#A3A500	0.363128411337339	-1.38886070111234	3	2	3	#A3A500
#39B600	0.632862604961041	-0.278788766817371	4	2	4	#39B600
#00BF7D	0.404268323140999	-0.133321336393658	5	2	5	#00BF7D
#00BFC4	-0.106124516091484	0.635950398070074	6	2	6	#00BFC4
#00B0F6	1.51152199743894	-0.284252921416072	7	2	7	#00B0F6
#9590FF	-0.0946590384130976	-2.65645542090478	8	2	8	#9590FF
#E76BF3	2.01842371387704	-2.44046692857552	9	2	9	#E76BF3
#FF62BC	-0.062714099052421	1.32011334573019	10	2	10	#FF62BC
#F8766D	1.06431985306819	1.7603197774647	1	3	1	#F8766D
#D89000	-2.34600660537609	2.99148272992993	2	3	2	#D89000
#A3A500	0.191211055577718	-0.353757179142417	3	3	3	#A3A500
#39B600	1.84753730413364	-0.887715142224582	4	3	4	#39B600
#00BF7D	2.29946178440596	0.371633786904312	5	3	5	#00BF7D
#00BFC4	-0.536593647697684	-1.08105828100327	6	3	6	#00BFC4
#00B0F6	1.25425261467001	-1.06871192979557	7	3	7	#00B0F6
#9590FF	-1.85782212360788	-3.50736301508129	8	3	8	#9590FF
#E76BF3	2.47852106870831	-4.85467457852215	9	3	9	#E76BF3
#FF62BC	-0.70270897501254	1.35623595262245	10	3	10	#FF62BC
#F8766D	1.27031845326845	2.08224504266865	1	4	1	#F8766D
#D89000	-2.70706390392476	2.20764378904955	2	4	2	#D89000
#A3A500	0.949374291277235	1.22197034064956	3	4	3	#A3A500
#39B600	1.12083247705706	-0.244815836507266	4	4	4	#39B600
#00BF7D	0.93118073998667	0.461394433503918	5	4	5	#00BF7D
#00BFC4	-0.103775621808967	-0.804507533711805	6	4	6	#00BFC4
#00B0F6	0.442859438483338	-0.389423113740298	7	4	7	#00B0F6
#9590FF	-0.413720861886625	-3.41753012850221	8	4	8	#9590FF
#E76BF3	2.04707486609497	-7.84776466167509	9	4	9	#E76BF3
#FF62BC	-0.0470610916103333	1.64111890615311	10	4	10	#FF62BC
#F8766D	0.903083810527472	1.0391261041008	1	5	1	#F8766D
#D89000	-2.52183333905915	2.11745740243884	2	5	2	#D89000
#A3A500	1.53119801864274	1.8454885026491	3	5	3	#A3A500
#39B600	2.52056930434974	-1.19833919427961	4	5	4	#39B600
#00BF7D	0.203888680512205	-0.0814343810699387	5	5	5	#00BF7D
#00BFC4	1.19876701023518	-0.223511036030123	6	5	6	#00BFC4
#00B0F6	0.778707558235412	0.378755624094293	7	5	7	#00B0F6
#9590FF	0.624785236810996	-2.95376253996205	8	5	8	#9590FF
#E76BF3	2.96780343438561	-8.73354095908477	9	5	9	#E76BF3
#FF62BC	0.673817071256529	0.541338007505251	10	5	10	#FF62BC
#F8766D	2.4157908203324	2.43124248003507	1	6	1	#F8766D
#D89000	-2.26391190152712	1.64128347938417	2	6	2	#D89000
#A3A500	1.61963824780233	2.49583706337541	3	6	3	#A3A500
